experiment,model,category,shot,seed,k,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro_0.3,max_f1,iou_at_best_f1,fragmentation,pixel_threshold,fit_ms,inference_ms_per_image,memory_mb,normal_mean_score,anomaly_mean_score
k_sweep,ppm-ad-full,carpet,10,0,64,0.9410112359550562,0.9807982675421336,0.9728285087111102,0.2738843183150152,0.8420599044548601,0.39345853418410465,0.2449102886891771,0.012289686628322437,5.272437572479248,1124.8522339956253,2.2709965468314675,0.031494140625,4.7590556144714355,7.193268775939941
k_sweep,ppm-ad-full,carpet,10,0,128,0.9907704654895666,0.99744309997119,0.988432922764648,0.5539388246786097,0.8501818423985591,0.5961118079793446,0.42461487415272314,0.0006485376760564634,8.007925033569336,1565.5495819955831,2.2385443757789636,0.06298828125,4.582638263702393,11.16469669342041
k_sweep,ppm-ad-full,carpet,10,0,256,0.978330658105939,0.9937012384637521,0.9848474112343122,0.45489159806040236,0.9205380206231797,0.5397605334775579,0.36963836812533,0.013009510974914072,6.5085039138793945,3116.8150969970156,2.304454760625461,0.1259765625,4.855003833770752,8.765924453735352
k_sweep,ppm-ad-full,carpet,10,0,512,0.9867576243980738,0.9964040045138765,0.9880938703672209,0.511336539321077,0.8077586323039546,0.5846135423264667,0.4130416390216099,0.0017370223291840491,7.959255695343018,5768.293693996384,2.2568379834286363,0.251953125,5.691131591796875,10.619810104370117
k_sweep,ppm-ad-full,carpet,10,0,1024,0.9915730337078652,0.9975486516096601,0.9879868863352139,0.544266194790907,0.9250033470319363,0.5806331421575802,0.40907897697442436,0.001802300825303139,6.461618900299072,11413.09347099741,2.4177064871889113,0.50390625,5.057482719421387,8.492855072021484
k_sweep,ppm-ad-full,carpet,10,1,64,0.9875601926163724,0.9966154441173533,0.9862194090281943,0.48440202813343075,0.8805804144851309,0.5202705399439395,0.3515984198383322,0.004886962933167836,6.268486022949219,797.3818170066806,2.261120178943209,0.031494140625,4.287682056427002,8.001351356506348
k_sweep,ppm-ad-full,carpet,10,1,128,0.9831460674157303,0.9956547777115106,0.9889110800685911,0.6042772623523728,0.8066173592696974,0.5815383275202954,0.40997817480938387,0.002878602899980953,8.488479614257812,1482.0265410016873,2.294225469739057,0.06298828125,4.983484745025635,11.488880157470703
k_sweep,ppm-ad-full,carpet,10,1,256,0.9875601926163724,0.9967910268324225,0.9890655961400102,0.5909581060006512,0.846066377046174,0.6105451359711073,0.4394134360009059,0.0007386651023207287,8.89692497253418,3042.2778990032384,2.259938683946374,0.1259765625,4.954025745391846,11.661517143249512
k_sweep,ppm-ad-full,carpet,10,1,512,0.9847512038523274,0.9959618196841861,0.9883487103801407,0.581379643115066,0.9291190534943927,0.5704544657963746,0.3990460269697983,0.0008765042788338176,7.35908317565918,5837.917930002732,2.274407725955328,0.251953125,4.943315029144287,9.773503303527832
k_sweep,ppm-ad-full,carpet,10,1,1024,0.9839486356340289,0.9958192803592424,0.9896475146090749,0.6442224044290091,0.7899850772255581,0.6216015034823305,0.4509592146630451,0.004309337244590092,6.881626605987549,11466.809464996913,2.347806239257861,0.50390625,4.541815757751465,8.722208023071289
k_sweep,ppm-ad-full,carpet,10,2,64,0.9678972712680578,0.9908815023661565,0.986393182578255,0.6164020131378621,0.9019818708238871,0.59129592165072,0.41974459415465076,0.002665576762980423,6.993799209594727,799.7446049994323,2.2152147437301544,0.031494140625,4.271886348724365,9.509491920471191
k_sweep,ppm-ad-full,carpet,10,2,128,0.9767255216693419,0.993661767188988,0.983524164583556,0.5413637004021363,0.7746921863955478,0.5455300494579608,0.37507137858341955,0.005787620952626337,6.743402481079102,1364.5440649997909,2.2282252050503395,0.06298828125,4.550552845001221,8.672032356262207
k_sweep,ppm-ad-full,carpet,10,2,256,0.9257624398073837,0.977794691971319,0.9747617901907268,0.37946157763939786,0.7784736886404876,0.43436672788208625,0.2774383603220796,0.003907361461109973,5.510989189147949,3014.8402500053635,2.2319258294171758,0.1259765625,4.942074775695801,7.909035682678223
k_sweep,ppm-ad-full,carpet,10,2,512,0.978330658105939,0.9940170538664195,0.9871555713951321,0.6594935349707746,0.8118272639370915,0.609970037946766,0.4388179065189143,0.0008831020119741478,8.136360168457031,5623.443876997044,2.2492189146006187,0.251953125,4.963633060455322,9.723003387451172
k_sweep,ppm-ad-full,carpet,10,2,1024,0.9867576243980738,0.9963571096140591,0.989419520384712,0.6270008455639964,0.8735146691659124,0.5891349809541413,0.41757005312426143,0.0009024353410611727,7.1396403312683105,11163.424567996117,2.4071854534738053,0.50390625,4.656405448913574,8.743842124938965
k_sweep,ppm-ad-full,bottle,10,0,64,0.9984126984126984,0.999500031494079,0.9796478539651146,0.7589120901351615,0.8114202540599409,0.7204203828694563,0.5630133312728116,0.003521962352312062,4.033693313598633,718.0537589956657,2.240327216862948,0.031494140625,3.039607524871826,7.332699298858643
k_sweep,ppm-ad-full,bottle,10,0,128,0.9976190476190476,0.9992440151090303,0.9821348938950942,0.7581269753069048,0.8563674593240952,0.7165555614102797,0.5583066472263093,0.0005138632279591017,4.828561782836914,1394.688585998665,2.2337083013641297,0.06298828125,3.1089560985565186,8.696727752685547
k_sweep,ppm-ad-full,bottle,10,0,256,0.9976190476190476,0.9992440151090303,0.9815692517431318,0.7496557728351251,0.9157673883762618,0.7120477119907052,0.5528525541045248,0.014169280233614497,5.20817756652832,2928.460912000446,2.2368862287348965,0.1259765625,3.679839611053467,9.341419219970703
k_sweep,ppm-ad-full,bottle,10,0,512,0.9976190476190476,0.9992440151090303,0.9823497022615844,0.7453005284990387,0.8520755725499252,0.7102020206294333,0.5506304335939636,0.010193991769503738,6.057259559631348,5596.587061998434,2.2403366620202148,0.251953125,4.360857963562012,9.793676376342773
k_sweep,ppm-ad-full,bottle,10,0,1024,0.9968253968253968,0.9990036304936458,0.9820044415877468,0.740096965563441,0.8413412359281963,0.7184180239846321,0.5605712606994538,0.0061606478048230155,6.825439929962158,11739.637114005745,2.3210688311983945,0.50390625,5.397587299346924,10.55396556854248
k_sweep,ppm-ad-full,bottle,10,1,64,1.0,0.9999999999999998,0.9781733795506166,0.7257872191296182,0.839512249071957,0.6938100267218588,0.5311708410841692,0.0048023769885596175,3.804163932800293,810.4669029999059,2.2590274583998537,0.031494140625,2.774472713470459,6.609382629394531
k_sweep,ppm-ad-full,bottle,10,1,128,1.0,0.9999999999999998,0.981400953155467,0.7369505714296323,0.8561960412299088,0.7143515580641928,0.5556352224785419,0.008253626301512192,4.386050224304199,1557.573591999244,2.395065337228757,0.06298828125,3.030177354812622,7.7405781745910645
k_sweep,ppm-ad-full,bottle,10,1,256,1.0,0.9999999999999998,0.9814106524543033,0.7347895819525959,0.8818024635510674,0.7094016851783097,0.5496688450862584,0.003269573884159215,5.442554950714111,3078.7708589996328,2.2324178794241814,0.1259765625,3.5764987468719482,8.77017593383789
k_sweep,ppm-ad-full,bottle,10,1,512,0.9992063492063492,0.999751984126984,0.9792738587991111,0.6879508263900991,0.8955478823818999,0.6990758229244068,0.5373686147457811,0.0009403983052166939,5.933831214904785,5641.282393000438,2.25307522890374,0.251953125,4.67600154876709,9.874679565429688
k_sweep,ppm-ad-full,bottle,10,1,1024,1.0,0.9999999999999998,0.9777826548951747,0.6787512946500022,0.879957213308232,0.6814397167770274,0.5168058870326173,0.02630823816467877,6.434728622436523,11128.354974003742,2.3401298565286526,0.50390625,5.276101112365723,9.652555465698242
k_sweep,ppm-ad-full,bottle,10,2,64,0.9992063492063492,0.999751984126984,0.9769659970250998,0.6349052925923853,0.8726021513423817,0.6929425269973948,0.5301545963434567,0.02257843548967693,3.6795878410339355,737.4026860052254,2.2470053974034108,0.031494140625,2.9324450492858887,6.0499796867370605
k_sweep,ppm-ad-full,bottle,10,2,128,1.0,0.9999999999999998,0.9824551527175117,0.712700236646808,0.8597874671651401,0.7274937216921773,0.5717014792725403,0.010484525875960937,4.575383186340332,1552.2357450026902,2.2413509040376653,0.06298828125,3.1264309883117676,7.4601149559021
k_sweep,ppm-ad-full,bottle,10,2,256,1.0,0.9999999999999998,0.9830781462743381,0.7370451830273272,0.8505925141845452,0.7275647932853174,0.5717892663185786,0.001936890426784198,5.412688255310059,3050.083756999811,2.2502559399707747,0.1259765625,3.691972255706787,8.821222305297852
k_sweep,ppm-ad-full,bottle,10,2,512,1.0,0.9999999999999998,0.9832833760320872,0.7432259680519226,0.8363104598347897,0.7218782946826868,0.564796209687613,0.003924038944269051,6.211763858795166,5651.386807003291,2.25809438503698,0.251953125,4.577901840209961,9.894969940185547
k_sweep,ppm-ad-full,bottle,10,2,1024,0.9976190476190476,0.9992596468786943,0.9788216989655498,0.6755173937191986,0.8801172352217292,0.6911256051603484,0.5280305030682623,0.007357608314640515,6.483409881591797,11433.22402099875,2.348589265041603,0.50390625,5.37721586227417,9.443427085876465
