experiment,model,shot,category,k,image_auroc,image_auroc,image_ap,image_ap,pixel_auroc,pixel_auroc,pixel_ap,pixel_ap,aupro_0.3,aupro_0.3,max_f1,max_f1,iou_at_best_f1,iou_at_best_f1,fragmentation,fragmentation,fit_ms,fit_ms,inference_ms_per_image,inference_ms_per_image,memory_mb,memory_mb
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
k_sweep,ppm-ad-full,10,bottle,64,0.9992063492063492,0.0007936507936507908,0.9997506718736876,0.0002499868361228452,0.9782624101802769,0.0013431433287031554,0.7065348672857216,0.06420600632218652,0.8411782181580932,0.030624952710441106,0.7023909788629034,0.015619945440577496,0.5414462562334792,0.018684545289019056,0.010300924943516204,0.010651892522856919,755.3077826669323,48.739015798802384,2.2487866908887373,0.009476524323047245,0.031494140625,0.0
k_sweep,ppm-ad-full,10,bottle,128,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.981996999922691,0.000540458360905502,0.7359259277944483,0.02273069658540024,0.857450322573048,0.0020258404858262335,0.7194669470555498,0.0070381987033468945,0.5618811163257972,0.00860893569787057,0.00641733846847741,0.005232828409605882,1501.4993076668663,92.5392935465856,2.290041514210184,0.09103353719912136,0.06298828125,0.0
k_sweep,ppm-ad-full,10,bottle,256,0.9992063492063492,0.0013746434980705326,0.9997480050363432,0.00043646808030452716,0.9820193501572577,0.0009203669630982054,0.7404968459383494,0.008011640935379144,0.8827207887039581,0.03259714017044057,0.7163380634847775,0.009812235269485133,0.5581035551697873,0.011958595988424471,0.006458581514852637,0.006710824639940095,3019.105175999963,79.79990226997573,2.2398533493766175,0.009281807727640022,0.1259765625,0.0
k_sweep,ppm-ad-full,10,bottle,512,0.9989417989417989,0.0012123216124221878,0.9996653330786712,0.00038536942272811715,0.9816356456975942,0.002097966799741139,0.7254924409803535,0.03252853470100655,0.8613113049222049,0.030679669519822088,0.7103853794121756,0.011402341641268077,0.5509317526757859,0.013716279960875093,0.0050194763396631615,0.004723053600796294,5629.7520873340545,29.16271548946549,2.2505020919869785,0.009154231637845704,0.251953125,0.0
k_sweep,ppm-ad-full,10,bottle,1024,0.9981481481481481,0.0016521158725921585,0.9994210924574466,0.0005174326569438879,0.9795362651494904,0.0021997327889583486,0.6981218846442139,0.03638743041819944,0.8671385614860525,0.022341282555097746,0.6969944486406693,0.01917501744021046,0.5351358836001111,0.022731405751212165,0.0132754980947141,0.011302540153167458,11433.738703002746,305.6413950114272,2.3365959842562165,0.0140964449297692,0.50390625,0.0
k_sweep,ppm-ad-full,10,carpet,64,0.9654895666131621,0.023367693999262702,0.9894317380085478,0.008007629563258036,0.9818137001058531,0.007781889077325452,0.45822945319543607,0.17275226648542977,0.874874063254626,0.03036580884246483,0.5016749985929213,0.10022102368518784,0.33875110089405336,0.08812235127900672,0.006614075441490233,0.0050391527946020975,907.326218667246,188.38675962035222,2.2491104898349437,0.029767043246958606,0.031494140625,0.0
k_sweep,ppm-ad-full,10,carpet,128,0.9835473515248796,0.007031065597084726,0.9955865482905629,0.0018915895016759728,0.9869560558055984,0.002981705321083396,0.5665265958110396,0.03329216207875944,0.8104971293546015,0.03789408268842288,0.574393394985867,0.02603682237658902,0.40322147584850887,0.02545347174635156,0.0031049205095545845,0.0025770058160940142,1470.7067293323537,100.97974087834804,2.25366501685612,0.03550329667345462,0.06298828125,0.0
k_sweep,ppm-ad-full,10,carpet,256,0.9638844301765651,0.0333355769276727,0.9894289857558313,0.010193345473349123,0.9828915991883497,0.007349735827091869,0.47510376056681713,0.10718719145543884,0.8483593621032804,0.07105991796207073,0.5282241324435838,0.08865395806622468,0.36216338814943844,0.0812458477678728,0.005885179179448258,0.0063700264365593425,3057.9777486685393,52.76913221171546,2.265439757996337,0.036576055382332114,0.1259765625,0.0
k_sweep,ppm-ad-full,10,carpet,512,0.9832798287854466,0.004401948280338216,0.9954609593548273,0.0012698539878635328,0.9878660507141644,0.0006283482355556218,0.5840699058023059,0.07411512649237603,0.8495683165784795,0.0689229878106003,0.5883460153565357,0.02002045520919395,0.4169685241701075,0.02017463558393226,0.0011655428733306715,0.000494926720704694,5743.218500332053,109.413682216391,2.2601548746615276,0.012917831859639033,0.251953125,0.0
k_sweep,ppm-ad-full,10,carpet,1024,0.987426431246656,0.0038559484498126087,0.9965750138609871,0.0008850383754758181,0.9890179737763335,0.0009001951594025327,0.6051631482613041,0.05343664219350861,0.862834364474469,0.06813981931736784,0.597123208864684,0.021620834772781147,0.425869414920577,0.02213928932652195,0.0023380244703181344,0.0017655013488916847,11347.77583466348,161.8962449973273,2.390899393306859,0.03768869833287721,0.50390625,0.0
